டவுன்ஏ	AA
டவுன் பி	BB
டவுன் சி	CC
டவுன் டி	DD
டவுன் இ	EE
டவுன் எஃப்	FF
டவுன் ஜி	GG
டவுன் எச்‌	HH
டவுன் எச்‌	HH
டவுன் ஹெச்	HH
டவுன் ஐ	II
டவுன் அய்‌	II
டவுன் ஜெ	JJ
டவுன் ஜே	JJ
டவுன் கே	KK
டவுன் கெ	KK
டவுன் எல்	LL
டவுன் எம்‌	MM
டவுன் எம்	MM
டவுன் என்	NN
டவுன் எண்	NN
டவுன் ஒ	OO
டவுன் பி	PP
டவுன் கியூ	QQ
டவுன் க்யூ	QQ
டவுன் ஆர்‌	R‌R
டவுன் எஸ்	SS
டவுன் டி	TT
டவுன் யு	UU
டவுன் யூ	UU
டவுன் வி	VV
டவுன் டப்ளியூ	WW
டவுன் டபிள்‌ யு	WW
டவுன் டபுள்யூ	WW
டவுன் எக்ஸ்‌	X
டவுன் எக்ஸ்	XX
டவுன் வை	YY
டவுன் ஒய்‌	ZZ
டவுன் ஜெட்‌	ZZ
டவுன் இஜெட்‌	ZZ
டவுன் இஜெட்	ZZ